,url,segment_no,cumle_icerigi,sözcük_sayisi
87,https://www.iha.com.tr/haber-epilepsi-nobeti-geciren-vatandasin-yardimina-astsubay-kostu-843787/,3,"Hastanın nabzını yoklayarak, “İyi misiniz, nefes alabiliyor musunuz” diyen asker, ambulans gelene kadar yaşlı adamın başında bekledi.Astsubayın bu duyarlı davranışı vatandaşları bir hayli duygulandırırken, olay yerine gelen ambulansla Malkara Devlet Hastanesine kaldırılan Mustafa Kezmez, tedavi altına alındı.Hüseyin Tayyar",38
88,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,0,"Yenipazar ilçesine bağlı kırsal Çavdar Mahallesinde yaşayan Raşit Erdem, gelişen teknolojiye rağmen geleneksel yaşamından hiç vazgeçmedi.",16
89,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,1,"Yarım asır öncesinde olduğu gibi ulaşımdan yük taşımaya kadar her işini emektar eşeğiyle yapan Raşit Erdem, korona virüs salgını nedeniyle getirilen 65 yaş ve üstü sokağa çıkma kısıtlamamasına takılmadığı bu günlerde de gününün bir kısmını yine eşeğinin üstünde geçiriyor.Teknolojinin yaygınlaşması ve motorlu ulaşım araçlarının çoğalmasına rağmen yeni düzene bir türlü alışamadığını belirten Raşit Erdem, doğal yaşamdan hiç vazgeçmediklerini söyledi.",59
90,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,2,"Bu saatten sonra yeni bir hayat düzenine de geçmek istemediğini ifade eden Erdem, eli ayağı tuttuğu sürece eşeği ile daha doğal bir hayat yaşamayı tercih ettiğini kaydederek; “Eskiden araziye de, çarşı pazara da eşeklerle gidilirdi.",35
91,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,3,Şimdi herkesin altında araba var.,5
92,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,4,Ben düzenimi hiç bozmadım.,4
93,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,5,Zamandan kaybettim ama sağlığımdan kazandım.,5
94,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,6,Halen ulaşım ve taşıma işlerini eşeğimle yapıyorum.,7
95,https://www.iha.com.tr/haber-yasa-takilmadan-emektar-eseginin-sirtinda-dolasiyor-843784/,7,Alıştığım için bu hayattan vazgeçemiyorum” dedi.Mehmet Barlas,7
96,https://www.iha.com.tr/haber-bu-golun-kalbi-var-843780/,0,Ezine ilçesine bağlı Dalyan köyünde bulunan kalp şeklindeki göl aşıkların uğrak yerlerinden biri olarak biliniyor.,15
97,https://www.iha.com.tr/haber-bu-golun-kalbi-var-843780/,1,"Bozcaadanın tam karşısında denizin kıyısında bulunan tabiat harikası göl, yılın belli zamanlarında pembe renge dönüşerek keyfine doyumsuz bir manzara ortaya çıkartıyor.",21
98,https://www.iha.com.tr/haber-bu-golun-kalbi-var-843780/,2,Göl bu özelliğiyle dünyadaki 8 pembe gölden biri olarak biliniyor.,10
99,https://www.iha.com.tr/haber-bu-golun-kalbi-var-843780/,3,Bilhassa çiftler kalp şeklindeki gölü görmek için Dalyan köyüne geliyor.,10
100,https://www.iha.com.tr/haber-bu-golun-kalbi-var-843780/,4,Troas antik kentinin o dönemki iç limanı olarak kullanılan göl bugün her gün çok sayıda turisti ağırlıyor.,17
